,ACC,AGI,AWR,BCV,BKS,Blanket Coverage,CAR,CIT,CTH,ELU,FNM,Go Deep,IMP,INJ,JKM,JMP,KAC,KPW,KR,MCV,Move the Sticks,PAC,PBK,POW,PRC,PRS,PUR,PWM,Physical Front,Pick Specialist,Playmaker,Pound the Rock,RBK,RLS,RTE,Read and React,SFA,SPC,SPD,SPM,STA,STR,Secure Tackler,TAD,TAK,TAM,TAS,THP,TOR,TRK,Toughness,ZCV,id,ovr,player,pos,size
0,57,56,88,31,46,0,56,36,62,43,31,0,37,82,31,27,94,91,31,35,0,43,41,33,43,31,38,31,0,0,0,0,37,38,36,0,31,36,55,31,88,38,0,46,48,50,52,47,44,31,0,36,3,94,Adam Vinatieri,K,
1,78,62,93,35,95,0,64,44,53,32,76,0,92,88,32,78,32,36,32,41,0,32,55,82,93,38,89,90,0,0,0,0,55,51,32,0,32,43,59,32,75,95,1,32,93,32,32,34,34,41,1,51,4,94,Brandon Williams,DT,"Ht: 6' 1"" Wt: 340"
2,87,81,94,53,88,0,60,53,62,59,88,0,93,89,53,74,46,46,43,58,0,43,63,90,94,55,92,94,0,0,0,0,63,51,46,1,56,55,84,58,87,86,0,42,93,43,42,47,45,50,0,63,5,94,Everson Griffen,RE,"Ht: 6' 3"" Wt: 273"
3,92,89,94,89,58,0,82,92,95,86,38,0,64,86,88,87,44,44,80,38,1,36,50,37,38,36,54,38,0,0,1,0,72,92,92,0,80,93,89,86,93,68,0,35,54,38,40,52,40,68,0,42,6,94,Jordy Nelson,WR,"Ht: 6' 3"" Wt: 217"
4,93,92,88,78,31,0,68,37,45,82,26,0,40,87,82,84,32,32,35,27,1,86,32,31,30,26,37,26,0,0,0,0,36,35,32,0,58,36,90,75,92,64,0,85,38,88,89,90,94,53,0,31,7,95,Deshaun Watson,QB,"Ht: 6' 2"" Wt: 210"
5,92,92,92,93,50,0,89,81,78,84,34,0,57,86,93,86,44,43,72,35,1,47,78,50,45,36,50,34,0,0,0,0,58,82,78,0,93,80,91,92,87,83,0,54,56,64,65,50,57,92,0,35,8,95,DeMarco Murray,HB,"Ht: 6' 0"" Wt: 217"
6,91,88,94,65,87,0,72,67,85,55,73,0,82,85,72,92,46,46,51,82,0,42,59,92,94,83,93,85,1,0,0,0,59,39,51,0,56,68,88,65,91,72,1,37,91,38,41,46,44,59,0,91,9,95,Reshad Jones,SS,"Ht: 6' 1"" Wt: 215"
7,84,72,92,55,93,0,60,48,60,39,79,0,93,92,38,69,44,44,38,51,0,38,59,90,92,45,93,92,0,0,0,0,59,44,41,1,66,48,74,38,78,95,0,38,93,38,38,46,39,56,0,59,16,95,Marcell Dareus,DT,"Ht: 6' 3"" Wt: 331"
8,92,90,90,76,89,1,78,71,79,71,88,0,87,85,75,91,37,38,67,83,0,39,60,89,90,70,92,78,0,0,0,0,45,60,68,0,79,72,88,62,91,78,0,40,93,42,44,39,46,75,0,88,17,94,Myles Jack,MLB,"Ht: 6' 1"" Wt: 245"
9,96,96,93,97,43,0,89,89,90,96,15,1,49,93,97,92,15,13,92,10,0,,40,27,35,30,50,15,0,0,0,0,70,80,93,0,41,92,95,96,97,57,0,,40,10,15,40,10,46,0,20,18,94,Ted Ginn Jr,WR,"Ht: 5' 11"" Wt: 180"
