,ACC,AGI,AWR,BCV,BKS,Blanket Coverage,CAR,CIT,CTH,ELU,FNM,Go Deep,IMP,INJ,JKM,JMP,KAC,KPW,KR,MCV,Move the Sticks,PAC,PBK,POW,PRC,PRS,PUR,PWM,Physical Front,Pick Specialist,Playmaker,Pound the Rock,RBK,RLS,RTE,Read and React,SFA,SPC,SPD,SPM,STA,STR,Secure Tackler,TAD,TAK,TAM,TAS,THP,TOR,TRK,Toughness,ZCV,id,ovr,player,pos,size
0,91.0,95.0,92.0,88.0,48.0,0.0,80.0,93.0,93.0,89.0,28.0,0.0,59.0,92.0,89.0,96.0,30.0,34.0,76.0,37.0,1.0,28.0,47.0,30.0,38.0,30.0,48.0,28.0,0.0,0.0,1.0,0.0,74.0,93.0,92.0,0.0,79.0,96.0,92.0,89.0,95.0,70.0,0.0,33.0,50.0,34.0,37.0,48.0,36.0,75.0,0.0,41.0,34001.0,96.0,A.J. Green,WR,"Ht: 6' 4"" Wt: 207"
1,92.0,95.0,94.0,69.0,75.0,1.0,75.0,68.0,87.0,74.0,71.0,0.0,74.0,95.0,83.0,89.0,47.0,47.0,56.0,93.0,0.0,42.0,62.0,79.0,94.0,95.0,91.0,69.0,0.0,1.0,0.0,0.0,62.0,57.0,50.0,0.0,53.0,84.0,91.0,77.0,93.0,60.0,0.0,41.0,81.0,42.0,41.0,56.0,44.0,52.0,0.0,96.0,34002.0,96.0,Josh Norman,CB,"Ht: 6' 0"" Wt: 200"
2,78.0,69.0,88.0,72.0,63.0,0.0,74.0,58.0,67.0,78.0,58.0,0.0,65.0,95.0,75.0,53.0,63.0,63.0,60.0,60.0,1.0,91.0,60.0,59.0,60.0,58.0,65.0,58.0,0.0,0.0,0.0,0.0,61.0,60.0,58.0,0.0,73.0,59.0,73.0,70.0,89.0,63.0,0.0,88.0,68.0,88.0,92.0,88.0,86.0,69.0,0.0,61.0,34003.0,92.0,Matt Ryan,QB,
3,80.0,68.0,90.0,22.0,35.0,0.0,49.0,26.0,48.0,32.0,22.0,0.0,88.0,88.0,22.0,33.0,24.0,26.0,22.0,24.0,0.0,22.0,93.0,31.0,37.0,22.0,38.0,22.0,0.0,0.0,0.0,0.0,87.0,30.0,26.0,0.0,22.0,26.0,66.0,22.0,84.0,91.0,0.0,21.0,44.0,22.0,21.0,23.0,25.0,22.0,1.0,25.0,34004.0,91.0,James Carpenter,LG,
4,88.0,87.0,86.0,79.0,51.0,0.0,75.0,88.0,88.0,75.0,23.0,0.0,76.0,85.0,82.0,92.0,29.0,29.0,30.0,23.0,1.0,23.0,73.0,24.0,31.0,23.0,33.0,23.0,0.0,0.0,0.0,0.0,74.0,88.0,86.0,0.0,78.0,90.0,86.0,79.0,85.0,73.0,0.0,22.0,45.0,27.0,29.0,33.0,29.0,79.0,0.0,32.0,34005.0,90.0,Julius Thomas,TE,
5,91.0,92.0,85.0,86.0,40.0,0.0,88.0,72.0,75.0,80.0,32.0,0.0,67.0,86.0,88.0,85.0,40.0,40.0,75.0,35.0,0.0,38.0,67.0,33.0,38.0,32.0,56.0,32.0,0.0,0.0,0.0,1.0,68.0,74.0,68.0,0.0,85.0,66.0,89.0,85.0,86.0,82.0,0.0,40.0,45.0,46.0,49.0,46.0,40.0,87.0,0.0,38.0,34006.0,90.0,Carlos Hyde,HB,
6,90.0,85.0,91.0,59.0,77.0,1.0,72.0,69.0,76.0,50.0,68.0,0.0,77.0,90.0,75.0,89.0,31.0,34.0,47.0,84.0,0.0,34.0,54.0,94.0,91.0,85.0,90.0,78.0,0.0,0.0,0.0,0.0,54.0,34.0,34.0,0.0,49.0,75.0,86.0,70.0,90.0,66.0,0.0,30.0,81.0,31.0,34.0,47.0,37.0,54.0,0.0,90.0,34007.0,92.0,D.J. Swearinger,FS,
7,91.0,84.0,90.0,49.0,80.0,0.0,59.0,50.0,75.0,46.0,76.0,0.0,87.0,85.0,64.0,87.0,36.0,36.0,33.0,78.0,0.0,28.0,54.0,89.0,90.0,68.0,91.0,84.0,1.0,0.0,0.0,0.0,54.0,36.0,33.0,0.0,51.0,52.0,88.0,60.0,80.0,80.0,0.0,28.0,86.0,28.0,28.0,40.0,31.0,56.0,0.0,85.0,34008.0,91.0,Kwon Alexander,MLB,
8,88.0,80.0,90.0,39.0,92.0,1.0,50.0,48.0,58.0,30.0,87.0,0.0,89.0,86.0,30.0,73.0,30.0,28.0,30.0,66.0,0.0,30.0,53.0,88.0,90.0,50.0,95.0,93.0,0.0,0.0,0.0,0.0,53.0,36.0,33.0,0.0,30.0,48.0,80.0,30.0,88.0,84.0,0.0,29.0,90.0,30.0,29.0,36.0,32.0,46.0,0.0,75.0,34009.0,90.0,Derrick Morgan,LOLB,
9,93.0,86.0,87.0,63.0,82.0,0.0,73.0,76.0,79.0,55.0,66.0,0.0,80.0,88.0,56.0,94.0,42.0,41.0,65.0,77.0,0.0,41.0,57.0,94.0,87.0,79.0,89.0,75.0,0.0,0.0,0.0,0.0,57.0,56.0,50.0,1.0,62.0,76.0,89.0,53.0,86.0,64.0,0.0,37.0,80.0,38.0,40.0,44.0,42.0,69.0,0.0,85.0,34010.0,90.0,Eric Reid,SS,
10,92.0,85.0,84.0,77.0,50.0,0.0,73.0,83.0,86.0,76.0,26.0,1.0,67.0,84.0,79.0,92.0,34.0,31.0,62.0,26.0,0.0,27.0,78.0,28.0,34.0,26.0,44.0,26.0,0.0,0.0,0.0,0.0,79.0,83.0,82.0,0.0,79.0,88.0,87.0,80.0,89.0,71.0,0.0,26.0,55.0,30.0,33.0,38.0,33.0,65.0,0.0,37.0,34011.0,88.0,Jared Cook,TE,
11,91.0,88.0,83.0,84.0,39.0,0.0,86.0,70.0,70.0,77.0,36.0,0.0,68.0,84.0,83.0,88.0,36.0,37.0,58.0,26.0,0.0,41.0,62.0,48.0,39.0,23.0,39.0,36.0,0.0,0.0,0.0,0.0,65.0,65.0,63.0,0.0,84.0,63.0,88.0,85.0,76.0,74.0,0.0,37.0,43.0,43.0,46.0,43.0,43.0,85.0,1.0,31.0,34012.0,87.0,Spencer Ware,HB,
12,86.0,67.0,80.0,16.0,55.0,0.0,35.0,16.0,43.0,19.0,39.0,0.0,85.0,85.0,16.0,88.0,24.0,24.0,16.0,19.0,1.0,17.0,80.0,53.0,39.0,16.0,57.0,59.0,0.0,0.0,0.0,0.0,86.0,21.0,16.0,0.0,16.0,18.0,79.0,16.0,82.0,85.0,0.0,16.0,58.0,17.0,16.0,29.0,19.0,23.0,0.0,23.0,34013.0,86.0,J.R. Sweezy,RG,
13,92.0,88.0,80.0,76.0,46.0,0.0,72.0,80.0,78.0,72.0,33.0,0.0,61.0,92.0,74.0,89.0,35.0,37.0,55.0,34.0,1.0,33.0,56.0,34.0,36.0,33.0,50.0,33.0,0.0,0.0,0.0,0.0,61.0,80.0,80.0,0.0,74.0,81.0,91.0,72.0,90.0,69.0,0.0,33.0,52.0,35.0,37.0,43.0,37.0,68.0,0.0,44.0,34014.0,85.0,Jordan Matthews,WR,
14,93.0,88.0,85.0,72.0,64.0,0.0,64.0,60.0,75.0,55.0,55.0,0.0,65.0,94.0,73.0,90.0,41.0,41.0,66.0,86.0,0.0,33.0,53.0,60.0,85.0,87.0,83.0,48.0,0.0,0.0,0.0,0.0,53.0,53.0,50.0,1.0,48.0,60.0,89.0,71.0,91.0,52.0,0.0,32.0,73.0,33.0,32.0,48.0,35.0,48.0,0.0,86.0,34015.0,88.0,Brandon Carr,CB,
15,90.0,93.0,83.0,81.0,71.0,1.0,73.0,70.0,80.0,78.0,62.0,0.0,75.0,90.0,80.0,89.0,58.0,59.0,62.0,82.0,0.0,38.0,58.0,71.0,83.0,75.0,81.0,55.0,0.0,0.0,0.0,0.0,58.0,46.0,43.0,0.0,52.0,67.0,90.0,78.0,90.0,53.0,0.0,37.0,76.0,38.0,37.0,48.0,39.0,43.0,0.0,86.0,34016.0,87.0,Riitemo Allen,FS,
16,83.0,73.0,80.0,49.0,76.0,1.0,50.0,38.0,53.0,35.0,76.0,0.0,86.0,85.0,46.0,80.0,30.0,31.0,30.0,44.0,0.0,30.0,54.0,86.0,80.0,35.0,78.0,83.0,0.0,0.0,0.0,0.0,54.0,34.0,30.0,0.0,57.0,38.0,77.0,49.0,80.0,89.0,0.0,30.0,83.0,30.0,30.0,33.0,33.0,60.0,0.0,49.0,34017.0,86.0,Nick Fairley,DT,
17,87.0,75.0,82.0,29.0,88.0,0.0,50.0,50.0,56.0,31.0,80.0,0.0,83.0,92.0,24.0,77.0,22.0,25.0,21.0,64.0,0.0,22.0,40.0,82.0,82.0,58.0,87.0,89.0,1.0,0.0,0.0,0.0,40.0,29.0,27.0,0.0,34.0,50.0,78.0,29.0,85.0,83.0,0.0,21.0,85.0,22.0,21.0,24.0,25.0,37.0,0.0,70.0,34018.0,85.0,Alex Okafor,LOLB,
18,82.0,80.0,90.0,73.0,26.0,0.0,68.0,23.0,52.0,68.0,19.0,1.0,25.0,93.0,63.0,60.0,25.0,23.0,22.0,21.0,0.0,90.0,21.0,21.0,30.0,19.0,30.0,19.0,0.0,0.0,0.0,0.0,25.0,27.0,23.0,0.0,36.0,23.0,80.0,63.0,96.0,60.0,0.0,92.0,28.0,92.0,92.0,95.0,93.0,38.0,0.0,26.0,34019.0,96.0,Aaron Rodgers,QB,"Ht: 6' 2"" Wt: 225"
19,90.0,90.0,94.0,62.0,96.0,1.0,78.0,60.0,69.0,59.0,96.0,0.0,94.0,93.0,69.0,81.0,48.0,51.0,45.0,80.0,0.0,45.0,63.0,96.0,94.0,79.0,96.0,93.0,0.0,0.0,0.0,0.0,63.0,62.0,48.0,0.0,59.0,68.0,88.0,63.0,93.0,86.0,0.0,44.0,94.0,45.0,44.0,50.0,48.0,62.0,0.0,86.0,34020.0,96.0,Von Miller,LOLB,"Ht: 6' 3"" Wt: 250"
